class,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat,,,,
poisonous,flat,scaly,white ,true,pungent ,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,black,scattered,grasses,,,,
edible,flat,fibrous,gray,true,none ,free,close,broad,brown,tapering,bulbous,smooth,smooth,gray,gray,partial,white,one,pendant,black,several,wood,,,,
edible,convex,fibrous,brown,true,none ,free,close,broad,white,tapering,bulbous,smooth,smooth,white,gray,partial,white,one,pendant,brown,several,wood,,,,
edible,convex,smooth,white ,false,none ,free,crowded,broad,black,tapering,equal,fibrous,fibrous,white,white,partial,white,one,evanescent,brown,abundant,grasses,,,,
edible,convex,fibrous,white ,false,none ,free,crowded,broad,chocolate,tapering,equal,fibrous,fibrous,white,white,partial,white,one,evanescent,brown,abundant,grasses,,,,
edible,convex,smooth,brown,false,none ,free,crowded,broad,chocolate,tapering,equal,smooth,smooth,white,white,partial,white,one,evanescent,brown,abundant,grasses,,,,
edible,convex,fibrous,brown,false,none ,free,crowded,broad,brown,tapering,equal,smooth,smooth,white,white,partial,white,one,evanescent,brown,abundant,grasses,,,,
edible,convex,smooth,gray,false,none ,free,crowded,broad,chocolate,tapering,equal,smooth,smooth,white,white,partial,white,one,evanescent,brown,abundant,grasses,,,,
edible,convex,scaly,brown,true,none ,free,close,broad,white,tapering,bulbous,smooth,smooth,gray,gray,partial,white,one,pendant,brown,several,wood,,,,
edible,convex,fibrous,brown,true,none ,free,close,broad,purple,tapering,bulbous,smooth,smooth,pink,pink,partial,white,one,pendant,brown,solitary,wood,,,,
edible,flat,smooth,gray,false,none ,free,crowded,broad,black,tapering,equal,fibrous,fibrous,white,white,partial,white,one,evanescent,brown,scattered,grasses,,,,
edible,flat,smooth,brown,false,none ,free,crowded,broad,brown,tapering,equal,fibrous,fibrous,white,white,partial,white,one,evanescent,black,abundant,grasses,,,,
edible,convex,smooth,gray,false,none ,free,crowded,broad,pink,tapering,equal,fibrous,smooth,white,white,partial,white,one,evanescent,brown,scattered,grasses,,,,
edible,flat,fibrous,gray,true,none ,free,close,broad,brown,tapering,bulbous,smooth,smooth,pink,white,partial,white,one,pendant,black,solitary,wood,,,,
edible,convex,smooth,white ,false,none ,free,crowded,broad,chocolate,tapering,equal,fibrous,fibrous,white,white,partial,white,one,evanescent,brown,abundant,grasses,,,,
edible,flat,fibrous,brown,false,none ,free,crowded,broad,black,tapering,equal,smooth,fibrous,white,white,partial,white,one,evanescent,brown,abundant,grasses,,,,
edible,flat,smooth,white ,false,none ,free,crowded,broad,chocolate,tapering,equal,fibrous,smooth,white,white,partial,white,one,evanescent,black,scattered,grasses,,,,
edible,convex,fibrous,gray,false,none ,free,crowded,broad,black,tapering,equal,smooth,smooth,white,white,partial,white,one,evanescent,brown,scattered,grasses,,,,
edible,flat,fibrous,brown,false,none ,free,crowded,broad,black,tapering,equal,smooth,smooth,white,white,partial,white,one,evanescent,brown,abundant,grasses,,,,
edible,flat,fibrous,brown,false,none ,free,crowded,broad,pink,tapering,equal,fibrous,fibrous,white,white,partial,white,one,evanescent,black,abundant,grasses,,,,
edible,convex,fibrous,brown,true,none ,free,close,broad,white,tapering,bulbous,smooth,smooth,white,pink,partial,white,one,pendant,brown,several,wood,,,,
edible,flat,smooth,gray,false,none ,free,crowded,broad,chocolate,tapering,equal,smooth,fibrous,white,white,partial,white,one,evanescent,black,abundant,grasses,,,,
edible,flat,smooth,white ,false,none ,free,crowded,broad,brown,tapering,equal,fibrous,fibrous,white,white,partial,white,one,evanescent,brown,scattered,grasses,,,,
edible,convex,scaly,red,true,none ,free,close,broad,pink,tapering,bulbous,smooth,smooth,gray,white,partial,white,one,pendant,black,several,wood,,,,
edible,convex,scaly,gray,true,none ,free,close,broad,purple,tapering,bulbous,smooth,smooth,gray,gray,partial,white,one,pendant,black,several,wood,,,,
edible,convex,scaly,red,true,none ,free,close,broad,brown,tapering,bulbous,smooth,smooth,gray,pink,partial,white,one,pendant,black,several,wood,,,,
edible,convex,fibrous,gray,false,none ,free,crowded,broad,chocolate,tapering,equal,smooth,smooth,white,white,partial,white,one,evanescent,black,scattered,grasses,,,,
edible,flat,fibrous,gray,false,none ,free,crowded,broad,pink,tapering,equal,fibrous,smooth,white,white,partial,white,one,evanescent,brown,abundant,grasses,,,,
edible,flat,scaly,yellow,true,anise ,free,close,broad,pink,enlarging,rooted,smooth,scaly,white,white,partial,white,one,pendant,brown,solitary,grasses,,,,
poisonous,flat,scaly,white ,true,pungent ,free,close,narrow,white,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,black,several,urban,,,,
edible,flat,smooth,brown,false,none ,free,crowded,broad,chocolate,tapering,equal,fibrous,fibrous,white,white,partial,white,one,evanescent,black,abundant,grasses,,,,
edible,flat,fibrous,brown,false,none ,free,crowded,broad,black,tapering,equal,smooth,fibrous,white,white,partial,white,one,evanescent,black,scattered,grasses,,,,
edible,flat,fibrous,brown,true,none ,free,close,broad,pink,tapering,bulbous,smooth,smooth,gray,white,partial,white,one,pendant,black,several,wood,,,,
edible,convex,fibrous,red,true,none ,free,close,broad,purple,tapering,bulbous,smooth,smooth,gray,white,partial,white,one,pendant,black,solitary,wood,,,,
edible,flat,fibrous,gray,false,none ,free,crowded,broad,pink,tapering,equal,smooth,smooth,white,white,partial,white,one,evanescent,brown,abundant,grasses,,,,
edible,convex,fibrous,brown,false,none ,free,crowded,broad,brown,tapering,equal,fibrous,smooth,white,white,partial,white,one,evanescent,black,scattered,grasses,,,,
edible,convex,fibrous,gray,false,none ,free,crowded,broad,chocolate,tapering,equal,fibrous,fibrous,white,white,partial,white,one,evanescent,brown,scattered,grasses,,,,
edible,convex,scaly,red,true,none ,free,close,broad,white,tapering,bulbous,smooth,smooth,gray,white,partial,white,one,pendant,brown,several,wood,,,,
edible,flat,fibrous,brown,true,none ,free,close,broad,white,tapering,bulbous,smooth,smooth,gray,white,partial,white,one,pendant,black,several,wood,,,,
edible,convex,fibrous,brown,false,none ,free,crowded,broad,pink,tapering,equal,smooth,fibrous,white,white,partial,white,one,evanescent,black,scattered,grasses,,,,
edible,convex,fibrous,brown,false,none ,free,crowded,broad,pink,tapering,equal,smooth,fibrous,white,white,partial,white,one,evanescent,black,abundant,grasses,,,,
edible,flat,smooth,white ,false,none ,free,crowded,broad,chocolate,tapering,equal,smooth,fibrous,white,white,partial,white,one,evanescent,black,scattered,grasses,,,,
edible,flat,smooth,gray,false,none ,free,crowded,broad,pink,tapering,equal,smooth,smooth,white,white,partial,white,one,evanescent,black,scattered,grasses,,,,
poisonous,flat,scaly,white ,true,pungent ,free,close,narrow,white,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,black,scattered,urban,,,,
edible,bell,smooth,white ,true,almond,free,close,broad,black,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,brown,scattered,grasses,,,,
edible,convex,fibrous,brown,true,none ,free,close,broad,white,tapering,bulbous,smooth,smooth,gray,white,partial,white,one,pendant,brown,several,wood,,,,
edible,flat,fibrous,gray,false,none ,free,crowded,broad,black,tapering,equal,fibrous,fibrous,white,white,partial,white,one,evanescent,black,abundant,grasses,,,,
edible,convex,fibrous,brown,false,none ,free,crowded,broad,black,tapering,equal,fibrous,smooth,white,white,partial,white,one,evanescent,brown,scattered,grasses,,,,
edible,convex,smooth,brown,false,none ,free,crowded,broad,black,tapering,equal,smooth,fibrous,white,white,partial,white,one,evanescent,brown,scattered,grasses,,,,
edible,flat,smooth,white ,true,anise ,free,crowded,narrow,brown,tapering,bulbous,smooth,smooth,white,white,partial,white,one,pendant,purple,several,wood,,,,
edible,convex,fibrous,white ,false,none ,free,crowded,broad,chocolate,tapering,equal,smooth,smooth,white,white,partial,white,one,evanescent,brown,abundant,grasses,,,,
edible,convex,smooth,white ,false,none ,free,crowded,broad,chocolate,tapering,equal,fibrous,smooth,white,white,partial,white,one,evanescent,black,abundant,grasses,,,,
edible,convex,smooth,gray,false,none ,free,crowded,broad,black,tapering,equal,fibrous,smooth,white,white,partial,white,one,evanescent,black,scattered,grasses,,,,
edible,convex,scaly,red,true,none ,free,close,broad,pink,tapering,bulbous,smooth,smooth,white,pink,partial,white,one,pendant,black,several,wood,,,,
edible,flat,fibrous,brown,true,none ,free,close,broad,brown,tapering,bulbous,smooth,smooth,gray,pink,partial,white,one,pendant,black,several,wood,,,,
edible,convex,fibrous,brown,true,none ,free,close,broad,brown,tapering,bulbous,smooth,smooth,white,white,partial,white,one,pendant,black,several,wood,,,,
edible,flat,fibrous,white ,false,none ,free,crowded,broad,black,tapering,equal,smooth,smooth,white,white,partial,white,one,evanescent,black,scattered,grasses,,,,
edible,flat,smooth,brown,false,none ,free,crowded,broad,brown,tapering,equal,fibrous,smooth,white,white,partial,white,one,evanescent,brown,scattered,grasses,,,,
poisonous,flat,smooth,white ,true,pungent ,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,brown,several,urban,,,,
edible,flat,fibrous,brown,false,none ,free,crowded,broad,pink,tapering,equal,fibrous,fibrous,white,white,partial,white,one,evanescent,brown,scattered,grasses,,,,
edible,convex,scaly,gray,true,none ,free,close,broad,white,tapering,bulbous,smooth,smooth,gray,gray,partial,white,one,pendant,brown,solitary,wood,,,,
edible,convex,scaly,gray,true,none ,free,close,broad,brown,tapering,bulbous,smooth,smooth,gray,gray,partial,white,one,pendant,brown,several,wood,,,,
edible,convex,fibrous,gray,false,none ,free,crowded,broad,pink,tapering,equal,smooth,smooth,white,white,partial,white,one,evanescent,brown,abundant,grasses,,,,
edible,convex,fibrous,gray,true,none ,free,close,broad,white,tapering,bulbous,smooth,smooth,pink,pink,partial,white,one,pendant,brown,several,wood,,,,
edible,convex,scaly,red,true,none ,free,close,broad,purple,tapering,bulbous,smooth,smooth,pink,pink,partial,white,one,pendant,brown,several,wood,,,,
edible,convex,fibrous,gray,true,none ,free,close,broad,pink,tapering,bulbous,smooth,smooth,gray,pink,partial,white,one,pendant,black,solitary,wood,,,,
edible,convex,fibrous,gray,true,none ,free,close,broad,purple,tapering,bulbous,smooth,smooth,pink,white,partial,white,one,pendant,brown,several,wood,,,,
edible,convex,fibrous,brown,true,none ,free,close,broad,pink,tapering,bulbous,smooth,smooth,pink,gray,partial,white,one,pendant,black,several,wood,,,,
poisonous,convex,smooth,white ,true,pungent ,free,close,narrow,pink,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,black,several,grasses,,,,
edible,convex,fibrous,brown,false,none ,free,crowded,broad,black,tapering,equal,smooth,smooth,white,white,partial,white,one,evanescent,black,scattered,grasses,,,,
edible,convex,scaly,brown,true,none ,free,close,broad,white,tapering,bulbous,smooth,smooth,pink,pink,partial,white,one,pendant,brown,several,wood,,,,
edible,convex,fibrous,gray,true,none ,free,close,broad,pink,tapering,bulbous,smooth,smooth,white,gray,partial,white,one,pendant,brown,solitary,wood,,,,
poisonous,flat,scaly,brown,true,pungent ,free,close,narrow,white,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,brown,scattered,grasses,,,,
edible,convex,fibrous,gray,true,none ,free,close,broad,purple,tapering,bulbous,smooth,smooth,white,gray,partial,white,one,pendant,black,solitary,wood,,,,
edible,convex,fibrous,gray,false,none ,free,crowded,broad,chocolate,tapering,equal,smooth,fibrous,white,white,partial,white,one,evanescent,black,scattered,grasses,,,,
edible,convex,fibrous,red,true,none ,free,close,broad,purple,tapering,bulbous,smooth,smooth,gray,gray,partial,white,one,pendant,black,several,wood,,,,
edible,flat,fibrous,brown,false,none ,free,crowded,broad,black,tapering,equal,fibrous,smooth,white,white,partial,white,one,evanescent,brown,scattered,grasses,,,,
edible,flat,smooth,white ,false,none ,free,crowded,broad,chocolate,tapering,equal,fibrous,fibrous,white,white,partial,white,one,evanescent,brown,abundant,grasses,,,,
edible,flat,smooth,brown,false,none ,free,crowded,broad,pink,tapering,equal,smooth,smooth,white,white,partial,white,one,evanescent,black,scattered,grasses,,,,
edible,convex,scaly,red,true,none ,free,close,broad,white,tapering,bulbous,smooth,smooth,white,gray,partial,white,one,pendant,brown,several,wood,,,,
edible,flat,smooth,brown,false,none ,free,crowded,broad,black,tapering,equal,fibrous,fibrous,white,white,partial,white,one,evanescent,black,scattered,grasses,,,,
edible,flat,fibrous,brown,true,none ,free,close,broad,brown,tapering,bulbous,smooth,smooth,pink,pink,partial,white,one,pendant,brown,several,wood,,,,
edible,flat,smooth,white ,false,none ,free,crowded,broad,chocolate,tapering,equal,smooth,smooth,white,white,partial,white,one,evanescent,black,scattered,grasses,,,,
edible,convex,fibrous,brown,false,none ,free,crowded,broad,black,tapering,equal,fibrous,fibrous,white,white,partial,white,one,evanescent,black,abundant,grasses,,,,
edible,flat,fibrous,brown,false,none ,free,crowded,broad,chocolate,tapering,equal,smooth,fibrous,white,white,partial,white,one,evanescent,brown,scattered,grasses,,,,
poisonous,convex,smooth,brown,true,pungent ,free,close,narrow,white,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,black,several,urban,,,,
edible,convex,fibrous,brown,true,none ,free,close,broad,pink,tapering,bulbous,smooth,smooth,white,white,partial,white,one,pendant,black,solitary,wood,,,,
edible,flat,smooth,brown,false,none ,free,crowded,broad,black,tapering,equal,fibrous,smooth,white,white,partial,white,one,evanescent,brown,scattered,grasses,,,,
poisonous,flat,scaly,white ,true,pungent ,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,brown,scattered,grasses,,,,
edible,convex,fibrous,brown,true,none ,free,close,broad,brown,tapering,bulbous,smooth,smooth,pink,gray,partial,white,one,pendant,brown,several,wood,,,,
edible,convex,fibrous,gray,true,none ,free,close,broad,purple,tapering,bulbous,smooth,smooth,white,pink,partial,white,one,pendant,brown,solitary,wood,,,,
edible,flat,fibrous,brown,false,none ,free,crowded,broad,pink,tapering,equal,fibrous,fibrous,white,white,partial,white,one,evanescent,brown,abundant,grasses,,,,
edible,convex,fibrous,red,true,none ,free,close,broad,pink,tapering,bulbous,smooth,smooth,gray,gray,partial,white,one,pendant,black,several,wood,,,,
edible,flat,fibrous,white ,false,none ,free,crowded,broad,pink,tapering,equal,smooth,smooth,white,white,partial,white,one,evanescent,brown,scattered,grasses,,,,
edible,convex,fibrous,white ,false,none ,free,crowded,broad,chocolate,tapering,equal,fibrous,fibrous,white,white,partial,white,one,evanescent,black,scattered,grasses,,,,
edible,convex,scaly,white ,true,anise ,free,close,broad,black,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,black,numerous,meadows,,,,
edible,convex,smooth,white ,false,none ,free,crowded,broad,pink,tapering,equal,fibrous,smooth,white,white,partial,white,one,evanescent,brown,scattered,grasses,,,,
edible,convex,scaly,gray,true,none ,free,close,broad,purple,tapering,bulbous,smooth,smooth,pink,gray,partial,white,one,pendant,brown,several,wood,,,,
edible,convex,fibrous,gray,true,none ,free,close,broad,brown,tapering,bulbous,smooth,smooth,gray,white,partial,white,one,pendant,black,solitary,wood,,,,
edible,convex,smooth,gray,false,none ,free,crowded,broad,brown,tapering,equal,fibrous,smooth,white,white,partial,white,one,evanescent,brown,abundant,grasses,,,,
poisonous,flat,scaly,white ,true,pungent ,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,brown,scattered,urban,,,,
edible,convex,fibrous,red,true,none ,free,close,broad,white,tapering,bulbous,smooth,smooth,white,pink,partial,white,one,pendant,brown,several,wood,,,,
poisonous,flat,smooth,brown,true,pungent ,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,black,scattered,urban,,,,
poisonous,flat,scaly,brown,true,pungent ,free,close,narrow,white,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,brown,several,grasses,,,,
edible,convex,fibrous,gray,true,none ,free,close,broad,pink,tapering,bulbous,smooth,smooth,pink,pink,partial,white,one,pendant,brown,several,wood,,,,
edible,flat,smooth,brown,false,none ,free,crowded,broad,chocolate,tapering,equal,smooth,fibrous,white,white,partial,white,one,evanescent,brown,abundant,grasses,,,,
edible,convex,fibrous,gray,true,none ,free,close,broad,pink,tapering,bulbous,smooth,smooth,gray,white,partial,white,one,pendant,brown,solitary,wood,,,,
edible,convex,fibrous,brown,false,none ,free,crowded,broad,chocolate,tapering,equal,smooth,fibrous,white,white,partial,white,one,evanescent,black,abundant,grasses,,,,
edible,convex,fibrous,brown,true,none ,free,close,broad,white,tapering,bulbous,smooth,smooth,pink,gray,partial,white,one,pendant,brown,solitary,wood,,,,
edible,flat,smooth,brown,false,none ,free,crowded,broad,pink,tapering,equal,fibrous,smooth,white,white,partial,white,one,evanescent,brown,scattered,grasses,,,,
edible,flat,fibrous,brown,false,none ,free,crowded,broad,pink,tapering,equal,smooth,fibrous,white,white,partial,white,one,evanescent,black,abundant,grasses,,,,
edible,convex,smooth,brown,false,none ,free,crowded,broad,black,tapering,equal,fibrous,fibrous,white,white,partial,white,one,evanescent,black,abundant,grasses,,,,
edible,convex,smooth,brown,false,none ,free,crowded,broad,black,tapering,equal,smooth,fibrous,white,white,partial,white,one,evanescent,black,scattered,grasses,,,,
edible,convex,fibrous,brown,true,none ,free,close,broad,white,tapering,bulbous,smooth,smooth,gray,gray,partial,white,one,pendant,brown,several,wood,,,,
edible,convex,scaly,red,true,none ,free,close,broad,purple,tapering,bulbous,smooth,smooth,gray,white,partial,white,one,pendant,brown,several,wood,,,,
edible,flat,smooth,brown,false,none ,free,crowded,broad,black,tapering,equal,fibrous,fibrous,white,white,partial,white,one,evanescent,black,abundant,grasses,,,,
edible,convex,fibrous,brown,true,none ,free,close,broad,white,tapering,bulbous,smooth,smooth,gray,gray,partial,white,one,pendant,black,solitary,wood,,,,
poisonous,flat,scaly,white ,true,pungent ,free,close,narrow,white,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,brown,several,urban,,,,
edible,convex,scaly,yellow,true,anise ,free,close,broad,brown,enlarging,rooted,smooth,scaly,white,white,partial,white,one,pendant,brown,scattered,grasses,,,,
poisonous,flat,smooth,brown,true,pungent ,free,close,narrow,pink,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,black,scattered,grasses,,,,
edible,flat,fibrous,white ,false,none ,free,crowded,broad,chocolate,tapering,equal,fibrous,smooth,white,white,partial,white,one,evanescent,brown,scattered,grasses,,,,
edible,flat,fibrous,brown,false,none ,free,crowded,broad,brown,tapering,equal,fibrous,fibrous,white,white,partial,white,one,evanescent,black,abundant,grasses,,,,
poisonous,flat,smooth,brown,true,pungent ,free,close,narrow,white,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,brown,several,grasses,,,,
edible,convex,smooth,brown,false,none ,free,crowded,broad,black,tapering,equal,fibrous,fibrous,white,white,partial,white,one,evanescent,brown,abundant,grasses,,,,
edible,convex,fibrous,brown,false,none ,free,crowded,broad,brown,tapering,equal,smooth,fibrous,white,white,partial,white,one,evanescent,black,scattered,grasses,,,,
edible,convex,fibrous,red,true,none ,free,close,broad,purple,tapering,bulbous,smooth,smooth,gray,white,partial,white,one,pendant,black,several,wood,,,,
edible,flat,fibrous,brown,false,none ,free,crowded,broad,black,tapering,equal,smooth,smooth,white,white,partial,white,one,evanescent,black,abundant,grasses,,,,
edible,convex,fibrous,white ,false,none ,free,crowded,broad,black,tapering,equal,smooth,smooth,white,white,partial,white,one,evanescent,brown,scattered,grasses,,,,
edible,flat,smooth,gray,false,none ,free,crowded,broad,pink,tapering,equal,fibrous,smooth,white,white,partial,white,one,evanescent,brown,abundant,grasses,,,,
edible,flat,fibrous,white ,false,none ,free,crowded,broad,chocolate,tapering,equal,fibrous,smooth,white,white,partial,white,one,evanescent,black,scattered,grasses,,,,
edible,flat,smooth,yellow,true,almond,free,crowded,narrow,brown,tapering,bulbous,smooth,smooth,white,white,partial,white,one,pendant,brown,several,wood,,,,
edible,flat,fibrous,white ,true,almond,free,crowded,narrow,brown,tapering,bulbous,smooth,smooth,white,white,partial,white,one,pendant,brown,several,wood,,,,
edible,flat,fibrous,brown,false,none ,free,crowded,broad,pink,tapering,equal,smooth,fibrous,white,white,partial,white,one,evanescent,brown,abundant,grasses,,,,
edible,convex,fibrous,brown,true,none ,free,close,broad,purple,tapering,bulbous,smooth,smooth,white,white,partial,white,one,pendant,brown,solitary,wood,,,,
edible,convex,scaly,gray,true,none ,free,close,broad,brown,tapering,bulbous,smooth,smooth,gray,pink,partial,white,one,pendant,black,solitary,wood,,,,
edible,convex,fibrous,brown,true,none ,free,close,broad,purple,tapering,bulbous,smooth,smooth,white,gray,partial,white,one,pendant,brown,solitary,wood,,,,
edible,convex,fibrous,brown,false,none ,free,crowded,broad,black,tapering,equal,smooth,fibrous,white,white,partial,white,one,evanescent,black,scattered,grasses,,,,
edible,convex,fibrous,gray,true,none ,free,close,broad,purple,tapering,bulbous,smooth,smooth,white,white,partial,white,one,pendant,brown,solitary,wood,,,,
edible,convex,fibrous,brown,true,none ,free,close,broad,brown,tapering,bulbous,smooth,smooth,pink,pink,partial,white,one,pendant,black,several,wood,,,,
edible,convex,fibrous,gray,false,none ,free,crowded,broad,pink,tapering,equal,fibrous,smooth,white,white,partial,white,one,evanescent,black,abundant,grasses,,,,
edible,convex,fibrous,brown,true,none ,free,close,broad,brown,tapering,bulbous,smooth,smooth,white,pink,partial,white,one,pendant,brown,several,wood,,,,
edible,convex,smooth,brown,false,none ,free,crowded,broad,chocolate,tapering,equal,fibrous,fibrous,white,white,partial,white,one,evanescent,black,abundant,grasses,,,,
edible,bell,scaly,white ,true,anise ,free,close,broad,black,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,black,scattered,meadows,,,,
edible,convex,scaly,red,true,none ,free,close,broad,purple,tapering,bulbous,smooth,smooth,white,pink,partial,white,one,pendant,black,several,wood,,,,
edible,flat,smooth,brown,false,none ,free,crowded,broad,chocolate,tapering,equal,smooth,fibrous,white,white,partial,white,one,evanescent,brown,scattered,grasses,,,,
edible,convex,fibrous,red,true,none ,free,close,broad,white,tapering,bulbous,smooth,smooth,pink,pink,partial,white,one,pendant,black,solitary,wood,,,,
edible,flat,scaly,brown,true,none ,free,close,broad,pink,tapering,bulbous,smooth,smooth,gray,gray,partial,white,one,pendant,black,solitary,wood,,,,
edible,convex,scaly,gray,true,none ,free,close,broad,purple,tapering,bulbous,smooth,smooth,pink,gray,partial,white,one,pendant,black,several,wood,,,,
edible,convex,smooth,gray,false,none ,free,crowded,broad,pink,tapering,equal,smooth,smooth,white,white,partial,white,one,evanescent,brown,abundant,grasses,,,,
edible,convex,smooth,brown,false,none ,free,crowded,broad,black,tapering,equal,fibrous,smooth,white,white,partial,white,one,evanescent,black,scattered,grasses,,,,
edible,convex,fibrous,gray,false,none ,free,crowded,broad,pink,tapering,equal,fibrous,fibrous,white,white,partial,white,one,evanescent,brown,abundant,grasses,,,,
edible,convex,smooth,gray,false,none ,free,crowded,broad,brown,tapering,equal,smooth,smooth,white,white,partial,white,one,evanescent,black,abundant,grasses,,,,
edible,convex,scaly,red,true,none ,free,close,broad,white,tapering,bulbous,smooth,smooth,white,pink,partial,white,one,pendant,black,solitary,wood,,,,
edible,flat,fibrous,gray,true,none ,free,close,broad,white,tapering,bulbous,smooth,smooth,pink,white,partial,white,one,pendant,brown,solitary,wood,,,,
edible,flat,fibrous,brown,true,none ,free,close,broad,brown,tapering,bulbous,smooth,smooth,pink,white,partial,white,one,pendant,black,solitary,wood,,,,
edible,convex,fibrous,brown,false,none ,free,crowded,broad,black,tapering,equal,fibrous,fibrous,white,white,partial,white,one,evanescent,brown,scattered,grasses,,,,
edible,flat,smooth,brown,false,none ,free,crowded,broad,brown,tapering,equal,smooth,fibrous,white,white,partial,white,one,evanescent,brown,scattered,grasses,,,,
edible,convex,fibrous,white ,false,none ,free,crowded,broad,brown,tapering,equal,smooth,smooth,white,white,partial,white,one,evanescent,black,scattered,grasses,,,,
edible,convex,scaly,yellow,true,almond,free,close,broad,pink,enlarging,rooted,smooth,scaly,white,white,partial,white,one,pendant,brown,scattered,paths,,,,
edible,convex,fibrous,red,true,none ,free,close,broad,purple,tapering,bulbous,smooth,smooth,white,pink,partial,white,one,pendant,brown,several,wood,,,,
edible,convex,fibrous,brown,false,none ,free,crowded,broad,chocolate,tapering,equal,fibrous,smooth,white,white,partial,white,one,evanescent,black,scattered,grasses,,,,
edible,convex,scaly,brown,true,none ,free,close,broad,pink,tapering,bulbous,smooth,smooth,white,gray,partial,white,one,pendant,black,several,wood,,,,
edible,flat,fibrous,gray,true,none ,free,close,broad,brown,tapering,bulbous,smooth,smooth,white,pink,partial,white,one,pendant,brown,solitary,wood,,,,
edible,convex,fibrous,white ,false,none ,free,crowded,broad,black,tapering,equal,fibrous,smooth,white,white,partial,white,one,evanescent,brown,abundant,grasses,,,,
edible,convex,scaly,white ,true,almond,free,close,broad,black,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,black,scattered,meadows,,,,
edible,convex,smooth,brown,false,none ,free,crowded,broad,pink,tapering,equal,smooth,smooth,white,white,partial,white,one,evanescent,brown,scattered,grasses,,,,
edible,flat,smooth,white ,false,none ,free,crowded,broad,pink,tapering,equal,smooth,smooth,white,white,partial,white,one,evanescent,brown,abundant,grasses,,,,
edible,flat,fibrous,brown,true,none ,free,close,broad,purple,tapering,bulbous,smooth,smooth,gray,white,partial,white,one,pendant,brown,several,wood,,,,
edible,flat,fibrous,white ,false,none ,free,crowded,broad,black,tapering,equal,fibrous,fibrous,white,white,partial,white,one,evanescent,black,scattered,grasses,,,,
edible,convex,fibrous,gray,true,none ,free,close,broad,purple,tapering,bulbous,smooth,smooth,gray,pink,partial,white,one,pendant,brown,several,wood,,,,
edible,convex,fibrous,brown,true,none ,free,close,broad,pink,tapering,bulbous,smooth,smooth,white,gray,partial,white,one,pendant,brown,solitary,wood,,,,
edible,convex,fibrous,white ,false,none ,free,crowded,broad,pink,tapering,equal,smooth,fibrous,white,white,partial,white,one,evanescent,brown,abundant,grasses,,,,
edible,convex,smooth,white ,true,almond,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,black,numerous,meadows,,,,
edible,flat,smooth,gray,false,none ,free,crowded,broad,brown,tapering,equal,fibrous,smooth,white,white,partial,white,one,evanescent,brown,scattered,grasses,,,,
poisonous,flat,scaly,brown,true,pungent ,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,brown,several,grasses,,,,
edible,flat,fibrous,gray,false,none ,free,crowded,broad,pink,tapering,equal,fibrous,smooth,white,white,partial,white,one,evanescent,brown,scattered,grasses,,,,
edible,convex,fibrous,brown,true,none ,free,close,broad,brown,tapering,bulbous,smooth,smooth,pink,white,partial,white,one,pendant,brown,several,wood,,,,
edible,convex,fibrous,white ,false,none ,free,crowded,broad,brown,tapering,equal,smooth,fibrous,white,white,partial,white,one,evanescent,brown,scattered,grasses,,,,
edible,convex,scaly,brown,true,none ,free,close,broad,purple,tapering,bulbous,smooth,smooth,pink,white,partial,white,one,pendant,black,several,wood,,,,
edible,convex,scaly,red,true,none ,free,close,broad,pink,tapering,bulbous,smooth,smooth,pink,pink,partial,white,one,pendant,brown,several,wood,,,,
poisonous,flat,smooth,brown,true,pungent ,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,black,several,urban,,,,
edible,flat,smooth,gray,false,none ,free,crowded,broad,pink,tapering,equal,smooth,smooth,white,white,partial,white,one,evanescent,brown,abundant,grasses,,,,
